product_id,marketplace_name,product_name,brand,category,condition,resale_price,seller_name,seller_rating,location,listing_date,product_url,availability_status,scraped_date
1.0,OLX,Product_1,Lenovo,Mobile,Refurbished,21134.0,Seller_1,4.8,Vijayawada,2024-03-07,https://example.com/product/1,Sold,2025-01-29
2.0,OLX,Product_2,Apple,Accessories,Good,12871.0,Seller_2,4.5,Hyderabad,2024-06-19,https://example.com/product/2,Sold,2022-03-06
3.0,OLX,Product_3,Apple,Accessories,New,26988.0,Seller_3,4.1,Hyderabad,2025-01-22,https://example.com/product/3,Available,2022-10-31
4.0,OLX,Product_4,Samsung,Laptop,Good,27463.0,Seller_4,3.9,Vijayawada,2024-08-03,https://example.com/product/4,Available,2024-11-10
5.0,OLX,Product_5,HP,Accessories,Refurbished,36616.0,Seller_5,4.6,Hyderabad,2023-06-29,https://example.com/product/5,Sold,2024-01-16
6.0,OLX,Product_6,Samsung,Furniture,Refurbished,46091.0,Seller_6,4.5,Hyderabad,2023-02-15,https://example.com/product/6,Available,2024-09-05
7.0,OLX,Product_7,Samsung,Mobile,New,14875.0,Seller_7,3.8,Hyderabad,2022-04-12,https://example.com/product/7,Sold,2023-12-22
8.0,OLX,Product_8,Samsung,Accessories,New,11356.0,Seller_8,5.0,Vijayawada,2024-11-21,https://example.com/product/8,Available,2024-05-18
9.0,OLX,Product_9,Lenovo,Laptop,Like New,34158.0,Seller_9,4.7,Bangalore,2023-01-25,https://example.com/product/9,Sold,2024-12-17
10.0,OLX,Product_10,Apple,Accessories,Good,31526.0,Seller_10,3.9,Vijayawada,2022-06-20,https://example.com/product/10,Available,2025-01-09
11.0,OLX,Product_11,Lenovo,Furniture,Refurbished,28067.0,Seller_11,4.0,Bangalore,2022-02-19,https://example.com/product/11,Sold,2024-04-30
12.0,OLX,Product_12,Dell,Furniture,Refurbished,18233.0,Seller_12,4.5,Vizag,2022-05-01,https://example.com/product/12,Sold,2024-08-31
13.0,OLX,Product_13,Samsung,Accessories,Like New,43669.0,Seller_13,3.7,Vijayawada,2022-09-28,https://example.com/product/13,Available,2023-07-25
14.0,OLX,Product_14,HP,Accessories,Good,49160.0,Seller_14,4.3,Vizag,2022-05-28,https://example.com/product/14,Sold,2023-12-03
15.0,OLX,Product_15,Apple,Laptop,Good,15131.0,Seller_15,4.1,Bangalore,2022-06-17,https://example.com/product/15,Available,2022-03-17
16.0,OLX,Product_16,Samsung,Electronics,Like New,23379.0,Seller_16,3.9,Vijayawada,2022-07-28,https://example.com/product/16,Sold,2024-10-05
17.0,OLX,Product_17,Lenovo,Laptop,New,47551.0,Seller_17,4.5,Vijayawada,2023-09-07,https://example.com/product/17,Sold,2023-09-10
18.0,OLX,Product_18,Lenovo,Accessories,Good,47435.0,Seller_18,3.6,Hyderabad,2025-01-17,https://example.com/product/18,Sold,2022-02-23
19.0,OLX,Product_19,HP,Laptop,New,44979.0,Seller_19,4.2,Vizag,2022-09-06,https://example.com/product/19,Sold,2023-08-12
20.0,OLX,Product_20,Lenovo,Laptop,Like New,23937.0,Seller_20,4.7,Vizag,2025-01-05,https://example.com/product/20,Available,2023-10-04
21.0,OLX,Product_21,HP,Laptop,New,13027.0,Seller_21,4.0,Vizag,2022-03-31,https://example.com/product/21,Sold,2024-03-01
22.0,OLX,Product_22,Apple,Laptop,Refurbished,16606.0,Seller_22,4.3,Vijayawada,2024-06-07,https://example.com/product/22,Available,2022-07-27
